|brainpoolP160r1 (Brainpool)|,|1332297598440044874827085038830181364212942568457|,|0|,|1.7976931348623157e+308|,|0|,|0|
|brainpoolP160t1 (Brainpool)|,|1332297598440044874827085038830181364212942568457|,|0|,|1.7976931348623157e+308|,|0|,|0|
|mnt3/1 (Miyaji-Nakabayashi-Takano)|,|793549717144513671927050677226939834588042230469|,|0|,|1.7976931348623157e+308|,|0|,|0|
|mnt3/2 (Miyaji-Nakabayashi-Takano)|,|793549717144513671927050677226939834588042230469|,|0|,|1.7976931348623157e+308|,|0|,|0|
|mnt3/3 (Miyaji-Nakabayashi-Takano)|,|793549717144513671927050677226939834588042230469|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ssc-160 (other)|,|1147860701762054730346200648614608152209809891831|,|0|,|1.7976931348623157e+308|,|0|,|0|
|K-163 (NIST)|,|5846006549323611672814741753598448348329118574063|,|0|,|1.7976931348623157e+308|,|0|,|0|
|B-163 (NIST)|,|5846006549323611672814742442876390689256843201587|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansit163k1 (ANSI X9.63)|,|5846006549323611672814741753598448348329118574063|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansit163r2 (ANSI X9.63)|,|5846006549323611672814742442876390689256843201587|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect163k1 (SECG)|,|5846006549323611672814741753598448348329118574063|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect163r2 (SECG)|,|5846006549323611672814742442876390689256843201587|,|0|,|1.7976931348623157e+308|,|0|,|0|
|c2pnb163v1 (ANSI x9.62)|,|5846006549323611672814741626226392056573832638401|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls3 (WTLS)|,|5846006549323611672814741753598448348329118574063|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls5 (WTLS)|,|5846006549323611672814741626226392056573832638401|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansit163r1 (ANSI X9.63)|,|5846006549323611672814738465098798981304420411291|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect163r1 (SECG)|,|5846006549323611672814738465098798981304420411291|,|0|,|1.7976931348623157e+308|,|0|,|0|
|c2pnb163v2 (ANSI x9.62)|,|5846006549323611672814736867226446213508588572839|,|0|,|1.7976931348623157e+308|,|0|,|0|
|c2pnb163v3 (ANSI x9.62)|,|5846006549323611672814737040186791886263374189321|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansip160k1 (ANSI X9.63)|,|1461501637330902918203686915170869725397159163571|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansip160r1 (ANSI X9.63)|,|1461501637330902918203687197606826779884643492439|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansip160r2 (ANSI X9.63)|,|1461501637330902918203685083571792140653176136043|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp160k1 (SECG)|,|1461501637330902918203686915170869725397159163571|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp160r1 (SECG)|,|1461501637330902918203687197606826779884643492439|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp160r2 (SECG)|,|1461501637330902918203685083571792140653176136043|,|0|,|1.7976931348623157e+308|,|0|,|0|
|c2pnb176w1 (ANSI x9.62)|,|1464764815784035076424479112383122688505483765421|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls7 (WTLS)|,|1461501637330902918203687197606826779884643492439|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls9 (WTLS)|,|1461501637330902918203687013445034429194588307251|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp112r1 (SECG)|,|4451685225093714776491891542548933|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls1 (WTLS)|,|5192296858534827627896703833467507|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls6 (WTLS)|,|4451685225093714776491891542548933|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp112r2 (SECG)|,|1112921306273428674967732714786891|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp128r1 (SECG)|,|340282366762482138443322565580356624661|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp128r2 (SECG)|,|85070591690620534603955721926813660579|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect113r1 (SECG)|,|5192296858534827689835882578830703|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect113r2 (SECG)|,|5192296858534827702972497909952403|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls4 (WTLS)|,|5192296858534827689835882578830703|,|0|,|1.7976931348623157e+308|,|0|,|0|
|wap-wsg-idm-ecid-wtls8 (WTLS)|,|5192296858534827767273836114360297|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect131r1 (SECG)|,|1361129467683753853893932755685365560653|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect131r2 (SECG)|,|1361129467683753853879535043412812867983|,|0|,|1.7976931348623157e+308|,|0|,|0|
|mnt1 (Miyaji-Nakabayashi-Takano)|,|59252852825873893726123036315589781262054405453|,|0|,|1.7976931348623157e+308|,|0|,|0|
|mnt2/1 (Miyaji-Nakabayashi-Takano)|,|519518160144969382386592375449686021630483366069|,|0|,|1.7976931348623157e+308|,|0|,|0|
|mnt2/2 (Miyaji-Nakabayashi-Takano)|,|519518160144969382386592375449686021630483366069|,|0|,|1.7976931348623157e+308|,|0|,|0|
|bn158 (Barreto-Naehrig)|,|206327671360737302491015346511080613560608358413|,|0|,|1.7976931348623157e+308|,|0|,|0|
