|numsp384d1 (NUMS)|,|39402006196394479212279040100143613805079739270465446667947266506191861115174655963485010977999089551199179622998457|,|0|,|1.7976931348623157e+308|,|0|,|0|
|w-384-mont (NUMS)|,|27242793346725870392864805069239920482418413479970250235259423235120778003919452809303293004597311350022776641089211|,|0|,|1.7976931348623157e+308|,|0|,|0|
|brainpoolP384r1 (Brainpool)|,|21659270770119316173069236842332604979796116387017648600075645274821611501358515537962695117368903252229601718723941|,|0|,|1.7976931348623157e+308|,|0|,|0|
|brainpoolP384t1 (Brainpool)|,|21659270770119316173069236842332604979796116387017648600075645274821611501358515537962695117368903252229601718723941|,|0|,|1.7976931348623157e+308|,|0|,|0|
|P-384 (NIST)|,|39402006196394479212279040100143613805079739270465446667946905279627659399113263569398956308152294913554433653942643|,|0|,|1.7976931348623157e+308|,|0|,|0|
|384-bit Random ECP Group (Oakley)|,|39402006196394479212279040100143613805079739270465446667946905279627659399113263569398956308152294913554433653942643|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansip384r1 (ANSI X9.63)|,|39402006196394479212279040100143613805079739270465446667946905279627659399113263569398956308152294913554433653942643|,|0|,|1.7976931348623157e+308|,|0|,|0|
|secp384r1 (SECG)|,|39402006196394479212279040100143613805079739270465446667946905279627659399113263569398956308152294913554433653942643|,|0|,|1.7976931348623157e+308|,|0|,|0|
|Fp384BN (other)|,|39402006196394479212278605372068645601647601647604977711035712095477795040353349547661912204165862202002491141937013|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ssc-384 (other)|,|30946263300823101954888425259784296108860594177929936231959195086011429040851460901626189237585847628753659044398489|,|0|,|1.7976931348623157e+308|,|0|,|0|
|BADA55-VR-384 (other)|,|39402006196394479212279040100143613805079739270465446667941621022900220837253578036853148808081762239228265036238391|,|0|,|1.7976931348623157e+308|,|0|,|0|
|Tom-384 (other)|,|39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319|,|0|,|1.7976931348623157e+308|,|0|,|0|
|numsp384t1 (NUMS)|,|9850501549098619803069760025035903451269934817616361666986603623638432032256865558780541454083219163250604218936869|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ed-384-mont (NUMS)|,|6810698336681467598216201267309980120604603369992562558815021907992753376144453070319091681243006554328101383456923|,|0|,|1.7976931348623157e+308|,|0|,|0|
|w-382-mont (NUMS)|,|9847495414592669296538061489872013099874893943953759017550383744416438584990326265468648445809278578438674191167517|,|0|,|1.7976931348623157e+308|,|0|,|0|
|bn382 (Barreto-Naehrig)|,|5540996953667913971058039301942914304734176495422447785042938606876043190415948413757785063597439175372845535461389|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ed-382-mont (NUMS)|,|2461873853648167324134515372468003274968723485988439754387041191942172767716325985379689814684721788810152581003873|,|0|,|1.7976931348623157e+308|,|0|,|0|
|E-382 (other)|,|2462625387274654950767440006258975862817483704404090416745738034557663054564649171262659326683244604346084081047321|,|0|,|1.7976931348623157e+308|,|0|,|0|
|Curve67254 (other)|,|2462625387274654950767440006258975862817483704404090416745738034557663054564649171262659326683244604346084081047321|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ed-383-mers (NUMS)|,|4925250774549309901534880012517951725634967408808180833493170465599421724340965185245636620539015930940268950833181|,|0|,|1.7976931348623157e+308|,|0|,|0|
|M-383 (other)|,|2462625387274654950767440006258975862817483704404090416746934574041288984234680883008327183083615266784870011007447|,|0|,|1.7976931348623157e+308|,|0|,|0|
|Curve383187 (other)|,|2462625387274654950767440006258975862817483704404090416747124418612574880605944350369924877650606926799392131911201|,|0|,|1.7976931348623157e+308|,|0|,|0|
|w-383-mers (NUMS)|,|19701003098197239606139520050071806902539869635232723333972032908904187686760616563249293103936710601848892201517983|,|0|,|1.7976931348623157e+308|,|0|,|0|
|BLS24-477 (Barreto-Lynn-Scott)|,|13537936261228327234360016478152006762700163086861427334212852888813629813026812384883257261708307801344061818798081|,|0|,|1.7976931348623157e+308|,|0|,|0|
|brainpoolP320r1 (Brainpool)|,|1763593322239166354161909842446019520889512772717686063760686124016784784845843468355685258203921|,|0|,|1.7976931348623157e+308|,|0|,|0|
|brainpoolP320t1 (Brainpool)|,|1763593322239166354161909842446019520889512772717686063760686124016784784845843468355685258203921|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ssc-320 (other)|,|1677600295053042228788960243555000810201048522357873106251579120122685384485967275546948559607409|,|0|,|1.7976931348623157e+308|,|0|,|0|
|K-283 (NIST)|,|3885337784451458141838923813647037813284811733793061324295874997529815829704422603873|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansit283k1 (ANSI X9.63)|,|3885337784451458141838923813647037813284811733793061324295874997529815829704422603873|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect283k1 (SECG)|,|3885337784451458141838923813647037813284811733793061324295874997529815829704422603873|,|0|,|1.7976931348623157e+308|,|0|,|0|
|B-283 (NIST)|,|7770675568902916283677847627294075626569625924376904889109196526770044277787378692871|,|0|,|1.7976931348623157e+308|,|0|,|0|
|ansit283r1 (ANSI X9.63)|,|7770675568902916283677847627294075626569625924376904889109196526770044277787378692871|,|0|,|1.7976931348623157e+308|,|0|,|0|
|sect283r1 (SECG)|,|7770675568902916283677847627294075626569625924376904889109196526770044277787378692871|,|0|,|1.7976931348623157e+308|,|0|,|0|
|c2pnb304w1 (ANSI x9.62)|,|500884825900595933307132795674658837818095809137913478977332553047879960661308247049501|,|0|,|1.7976931348623157e+308|,|0|,|0|
